product_id,product_name,category,subcategory,brand,color_options,size_options,list_price,sale_price,discount_rate,stock,avg_rating,review_count,origin,created_at
P00001,베이직 라운드넥 반팔티,여성의류,상의,데일리코디,블랙/화이트/네이비,S/M/L/XL,47500,42800,10,27,4.1,1313,대한민국,2024-09-15
P00002,오버핏 맨투맨,여성의류,상의,무드앤,화이트/베이지,S/M/L/XL,48800,43900,10,120,4.0,713,대한민국,2025-03-25
P00003,루즈핏 니트 가디건,여성의류,상의,무드앤,블랙/베이지,S/M/L/XL,22800,18200,20,8,3.8,428,대한민국,2025-04-25
P00004,셔링 블라우스,여성의류,상의,무드앤,라벤더/블랙/화이트/베이지,S/M/L/XL,26400,23800,10,3,4.8,367,대한민국,2024-01-08
P00005,크롭 후드집업,여성의류,상의,데일리코디,블랙/화이트,S/M/L/XL,13600,13600,0,8,4.1,1168,대한민국,2024-05-15
P00006,고밀도 코튼 셔츠,여성의류,상의,데일리코디,화이트/베이지/블랙/라벤더/네이비,S/M/L/XL,38700,34800,10,60,4.8,1252,대한민국,2025-04-03
P00007,와이드 슬랙스,여성의류,하의,무드앤,블랙/라이트블루/카키,26/27/28/29/30,46400,44100,5,250,4.0,383,대한민국,2024-12-01
P00008,하이웨스트 청바지,여성의류,하의,무드앤,카키/라이트블루,26/27/28/29/30,57800,57800,0,8,4.1,932,대한민국,2024-04-10
P00009,코튼 밴딩 팬츠,여성의류,하의,데일리코디,그레이/카키/블랙,26/27/28/29/30,47000,44600,5,0,4.2,1586,대한민국,2024-09-02
P00010,플리츠 롱스커트,여성의류,하의,데일리코디,블랙/그레이/라이트블루/카키,26/27/28/29/30,38100,32400,15,8,3.9,618,대한민국,2024-05-21
P00011,조거 트레이닝 팬츠,여성의류,하의,무드앤,블랙/그레이/카키/라이트블루,26/27/28/29/30,51400,36000,30,27,3.7,145,대한민국,2024-01-15
P00012,에어쿨 기능성 반팔티,남성의류,상의,어반스텝,블랙/네이비/차콜/화이트,M/L/XL/2XL,54100,48700,10,0,4.0,1006,베트남,2024-02-06
P00013,헤비코튼 무지 맨투맨,남성의류,상의,어반스텝,블랙/화이트/네이비/차콜,M/L/XL/2XL,48000,40800,15,0,4.7,719,베트남,2024-09-24
P00014,옥스포드 카라셔츠,남성의류,상의,어반스텝,차콜/화이트/네이비,M/L/XL/2XL,37900,37900,0,250,4.2,642,베트남,2025-01-15
P00015,스탠다드 피케 카라티,남성의류,상의,코어웨어,네이비/화이트/블랙/차콜,M/L/XL/2XL,38500,34600,10,120,3.9,1589,베트남,2024-11-09
P00016,경량 바람막이 자켓,남성의류,상의,어반스텝,차콜/네이비,M/L/XL/2XL,38600,38600,0,3,4.7,827,베트남,2024-06-10
P00017,스트레치 치노팬츠,남성의류,하의,어반스텝,블랙/베이지/인디고,30/32/34/36,52800,44900,15,15,4.8,788,베트남,2024-03-31
P00018,와이드 데님 팬츠,남성의류,하의,코어웨어,베이지/인디고,30/32/34/36,23800,19000,20,27,4.8,1021,베트남,2025-04-11
P00019,릴렉스핏 트레이닝 팬츠,남성의류,하의,코어웨어,인디고/베이지/블랙,30/32/34/36,42200,29500,30,0,4.9,35,베트남,2024-11-09
P00020,데일리 레더 스니커즈,신발,운동화,스텝업,그레이/화이트,230/240/250/260/270/280,39900,35900,10,8,4.3,401,중국,2025-01-21
P00021,경량 러닝화,신발,운동화,스텝업,블랙/화이트,230/240/250/260/270/280,81200,73100,10,27,3.8,405,중국,2024-01-06
