inquiry_id,text,label
TR00001,"같은 가격대 다른 모델로도 교환이 되나요, 아니면 동일상품만 되나요? 감사합니다.",교환
TR00002,수고 많으세요. 배송이 너무 오래 걸려서 그냥 주문 자체를 취소하고 싶어요.,취소
TR00003,상품 관련 제휴 제안을 드리고 싶은데 메일 주소 알 수 있을까요? 빠른 답변 부탁드려요.,기타
TR00004,문의드립니다. 결제 취소 요청한 금액이 일부만 환불됐어요. 나머지는요? 확인 부탁드립니다.,환불
TR00005,문의드립니다. 환불 계좌를 바꾸고 싶은데 어떻게 하나요? 확인 부탁드립니다.,환불
TR00006,안녕하세요. 두께가 어느 정도예요? 겨울에 입어도 따뜻할까요? 감사합니다.,상품정보
TR00007,첫 구매 할인 코드를 넣었는데 적용이 안 되네요. 만료된 건가요? 빠른 답변 부탁드려요.,주문결제
TR00008,수고 많으세요. 다음 입고 물량은 언제쯤 풀리는지 대략이라도 알 수 있을까요? 빠른 답변 부탁드려요.,재입고
TR00009,교환 신청하면 회수랑 재배송이 동시에 진행되나요? 빠른 답변 부탁드려요.,교환
TR00010,문의드립니다. 기업 단체복으로 단체 주문하려는데 담당자 연락처 있나요? 빠른 답변 부탁드려요.,기타
TR00011,결제하자마자 마음이 바뀌었어요. 주문 취소되나요? 확인 부탁드립니다.,취소
TR00012,문의드립니다. 카드 승인은 났는데 주문이 실패라고 떠요. 중복결제 된 건 아니죠? 빠른 답변 부탁드려요.,주문결제
TR00013,"문의드립니다. 세탁기로 돌려도 되나요, 손세탁만 해야 하나요? 빠른 답변 부탁드려요.",상품정보
TR00014,박음질이 터져 있어서 같은 상품으로 교환 요청합니다. 감사합니다.,교환
TR00015,주말에도 배송되나요? 토요일에 받아야 해서요. 감사합니다.,배송문의
TR00016,사이즈가 안 맞아서 한 치수 큰 걸로 교환하고 싶어요.,교환
TR00017,수고 많으세요. 앱에서 다크모드는 어떻게 설정하나요? 빠른 답변 부탁드려요.,기타
TR00018,주말에도 배송되나요? 토요일에 받아야 해서요.,배송문의
TR00019,수고 많으세요. 인기 상품이라 그런지 늘 없네요. 재입고 주기가 어떻게 되나요? 빠른 답변 부탁드려요.,재입고
TR00020,안녕하세요. 결제하자마자 마음이 바뀌었어요. 주문 취소되나요? 확인 부탁드립니다.,취소
TR00021,수고 많으세요. 배송지를 잘못 적었는데 출고 전이면 주소 바꿀 수 있나요? 감사합니다.,배송문의
TR00022,문의드립니다. 사진이랑 실물 품질 차이가 너무 커서 반품 신청합니다. 확인 부탁드립니다.,반품
TR00023,"안녕하세요. 취소한 주문 환불이 자동으로 되는 건가요, 따로 신청해야 하나요?",환불
TR00024,두께가 어느 정도예요? 겨울에 입어도 따뜻할까요? 감사합니다.,상품정보
TR00025,문의드립니다. 단순 변심인데 반품 가능한가요? 배송비는 제가 부담하는 거죠?,반품
TR00026,결제 취소 요청한 금액이 일부만 환불됐어요. 나머지는요? 빠른 답변 부탁드려요.,환불
TR00027,"문의드립니다. 재입고 알림은 앱 푸시로 오나요, 문자로 오나요? 빠른 답변 부탁드려요.",재입고
TR00028,안녕하세요. 할부로 결제하고 싶은데 몇 개월까지 무이자 되나요?,주문결제
TR00029,옵션을 잘못 선택해서 다른 사이즈로 바꿔주실 수 있나요? 확인 부탁드립니다.,교환
TR00030,안녕하세요. 이 가방에 13인치 노트북이 들어가는 크기인가요? 확인 부탁드립니다.,상품정보
TR00031,특정 옵션만 빠르게 다시 들어오는 편인지 궁금해요.,재입고
TR00032,가입할 때 받은 웰컴 쿠폰이 안 보이는데 확인해 주세요. 확인 부탁드립니다.,회원멤버십
TR00033,안녕하세요. 선물할 거라 더 큰 사이즈로 교환하고 싶은데 가능할까요? 감사합니다.,교환
TR00034,선물받은 상품인데 영수증 없이도 반품할 수 있나요? 빠른 답변 부탁드려요.,반품
TR00035,S로 받았는데 M으로 교환 가능할까요? 추가 비용 있나요?,교환
TR00036,수고 많으세요. 주문 직후인데 결제 취소 처리하면 카드 승인도 같이 취소되나요?,취소
TR00037,문의드립니다. 배송 추적상 다른 동네로 가 있는 것 같은데 오배송 아닌가요? 빠른 답변 부탁드려요.,배송문의
TR00038,안녕하세요. 기부 캠페인 참여하려면 어떻게 하면 되나요? 감사합니다.,기타
TR00039,수고 많으세요. 결제 금액이 장바구니 합계랑 다르게 청구됐어요. 확인 부탁해요.,주문결제
TR00040,안녕하세요. 결제 수단을 카드에서 계좌이체로 바꾸고 싶은데 가능한가요? 감사합니다.,주문결제
TR00041,안녕하세요. 한 번 신어봤는데 사이즈가 영 아니라 반품하려고요. 확인 부탁드립니다.,반품
TR00042,수고 많으세요. 현관 앞 말고 택배함에 넣어달라고 요청할 수 있나요?,배송문의
