question_id,audience,question,source_doc,expected_answer
RQ001,고객,50000원어치 사면 배송비 무료인가요?,shipping_policy,5만원 이상 무료배송
RQ002,고객,제주도인데 배송비 추가로 얼마 붙어요?,shipping_policy,"기본 배송비+3,000원"
RQ003,고객,오후에 주문하면 언제 출고되나요?,shipping_policy,"14시 이전 당일출고, 이후 익영업일"
RQ004,고객,단순 변심 반품하면 배송비 누가 내나요?,return_exchange_policy,"왕복 6,000원 고객 부담"
RQ005,고객,교환 배송비는 얼마예요?,return_exchange_policy,"단순변심 교환 편도 5,000원"
RQ006,고객,불량품인데 반품비 제가 내야 하나요?,return_exchange_policy,하자·오배송은 회사 부담
RQ007,고객,반품하면 환불 언제 돼요?,return_exchange_policy,"회수·검수 후 3영업일, 카드취소 3~5일"
RQ008,고객,세탁한 옷도 반품 되나요?,return_exchange_policy,착용·세탁 시 반품 제한
RQ009,고객,골드 등급은 얼마 사야 되나요?,membership_policy,최근 6개월 30만원 이상
RQ010,고객,VIP 혜택이 뭐예요?,membership_policy,"적립 5%, 무료배송, 우선구매 등"
RQ011,고객,생일 쿠폰 얼마 줘요?,membership_policy,"5,000원, 유효기간 30일"
RQ012,고객,비밀번호를 까먹었어요.,faq,로그인 화면 비밀번호 찾기로 재설정
RQ013,고객,프라이팬에 쇠 뒤집개 써도 되나요?,product_care_guide,"코팅 손상, 실리콘·나무 도구 권장"
RQ014,고객,차렵이불 집에서 세탁해도 돼요?,product_care_guide,"가정용 세탁기 가능, 대용량은 코인세탁 권장"
RQ015,직원,유연근무 출근 시간 몇 시까지 선택 가능해요?,employee_regulations,08:00~10:00 사이 선택
RQ016,직원,재택근무 일주일에 며칠까지 돼요?,employee_regulations,주 2일 이내
RQ017,직원,고객 데이터 개인 메신저로 보내도 되나요?,employee_regulations,"금지, 징계 대상"
RQ018,직원,입사 1년 차인데 연차 며칠이에요?,hr_policy,1년 이상 15일
RQ019,직원,본인 결혼 휴가 며칠 나와요?,hr_policy,5일
RQ020,직원,배우자 출산휴가 며칠인가요?,hr_policy,10일
RQ021,직원,병가 쓰려면 진단서 꼭 내야 하나요?,hr_policy,3일 초과 시 진단서
RQ022,직원,도서구입비 지원 얼마예요?,employee_regulations,연 20만원
RQ023,직원,출장 경비 정산 며칠 안에 해야 해요?,hr_policy,지출 후 7일 이내
