product_id,product_name,review_count,avg_rating,positive_count,negative_count,reference_summary,keywords
P00035,실리콘 지퍼백 대용량 세트,14,3.36,5,3,"‘실리콘 지퍼백 대용량 세트’는 호불호가 갈리는 편이다. 긍정적으로는 가격·가성비, 소재·마감, 사용감·관리를 만족스럽게 평가한 리뷰가 많다. 다만 일부 고객은 소재·마감, 내구성에 대한 아쉬움을 남겼다.","가격·가성비, 소재·마감, 사용감·관리"
P00063,슬림 카드지갑,14,3.14,4,3,"‘슬림 카드지갑’은 호불호가 갈리는 편이다. 긍정적으로는 가격·가성비, 사이즈·핏, 색상을 만족스럽게 평가한 리뷰가 많다. 다만 일부 고객은 가격·가성비, 색상에 대한 아쉬움을 남겼다.","가격·가성비, 사이즈·핏, 색상"
P00078,2구 인덕션 레인지,14,3.21,5,5,"‘2구 인덕션 레인지’는 호불호가 갈리는 편이다. 긍정적으로는 배송·포장, 사용감·관리를 만족스럽게 평가한 리뷰가 많다. 다만 일부 고객은 가격·가성비, 소재·마감에 대한 아쉬움을 남겼다.","배송·포장, 사용감·관리"
P00047,다용도 부직포 수납박스 3종,14,4.21,9,0,"‘다용도 부직포 수납박스 3종’은 전반적으로 만족도가 높은 편이다. 긍정적으로는 배송·포장, 소재·마감, 사용감·관리를 만족스럽게 평가한 리뷰가 많다. 부정적 의견은 많지 않다.","배송·포장, 소재·마감, 사용감·관리"
P00018,와이드 데님 팬츠,14,4.64,12,0,"‘와이드 데님 팬츠’는 전반적으로 만족도가 높은 편이다. 긍정적으로는 배송·포장, 가격·가성비, 사이즈·핏을 만족스럽게 평가한 리뷰가 많다. 부정적 의견은 많지 않다.","배송·포장, 가격·가성비, 사이즈·핏"
P00041,스팀 극세사 물걸레 리필 5매,14,3.14,5,5,"‘스팀 극세사 물걸레 리필 5매’는 호불호가 갈리는 편이다. 긍정적으로는 가격·가성비, 사용감·관리를 만족스럽게 평가한 리뷰가 많다. 다만 일부 고객은 가격·가성비, 소재·마감에 대한 아쉬움을 남겼다.","가격·가성비, 사용감·관리"
P00067,북유럽풍 도자기 접시 4P,13,3.69,5,0,"‘북유럽풍 도자기 접시 4P’는 대체로 무난하다는 평가가 많다. 긍정적으로는 배송·포장, 소재·마감, 사용감·관리를 만족스럽게 평가한 리뷰가 많다. 부정적 의견은 많지 않다.","배송·포장, 소재·마감, 사용감·관리"
P00009,코튼 밴딩 팬츠,13,3.38,4,2,"‘코튼 밴딩 팬츠’는 호불호가 갈리는 편이다. 긍정적으로는 배송·포장, 가격·가성비, 사용감·관리를 만족스럽게 평가한 리뷰가 많다. 다만 일부 고객은 배송·포장에 대한 아쉬움을 남겼다.","배송·포장, 가격·가성비, 사용감·관리"
P00006,고밀도 코튼 셔츠,13,3.85,7,1,"‘고밀도 코튼 셔츠’는 대체로 무난하다는 평가가 많다. 긍정적으로는 배송·포장, 사이즈·핏, 색상을 만족스럽게 평가한 리뷰가 많다. 다만 일부 고객은 배송·포장에 대한 아쉬움을 남겼다.","배송·포장, 사이즈·핏, 색상"
P00046,논슬립 옷걸이 30개입,13,3.54,5,2,"‘논슬립 옷걸이 30개입’은 대체로 무난하다는 평가가 많다. 긍정적으로는 배송·포장, 소재·마감, 사용감·관리를 만족스럽게 평가한 리뷰가 많다. 다만 일부 고객은 가격·가성비, 내구성에 대한 아쉬움을 남겼다.","배송·포장, 소재·마감, 사용감·관리"
P00050,탁상용 USB 서큘레이터,12,4.0,8,1,"‘탁상용 USB 서큘레이터’는 대체로 무난하다는 평가가 많다. 긍정적으로는 배송·포장, 가격·가성비, 소재·마감을 만족스럽게 평가한 리뷰가 많다. 다만 일부 고객은 배송·포장에 대한 아쉬움을 남겼다.","배송·포장, 가격·가성비, 소재·마감"
P00052,무선 미니 핸디 청소기,12,3.75,7,2,"‘무선 미니 핸디 청소기’는 대체로 무난하다는 평가가 많다. 긍정적으로는 가격·가성비, 소재·마감, 사용감·관리를 만족스럽게 평가한 리뷰가 많다. 다만 일부 고객은 가격·가성비, 내구성에 대한 아쉬움을 남겼다.","가격·가성비, 소재·마감, 사용감·관리"
P00076,미니 핸드블렌더,12,3.92,6,0,"‘미니 핸드블렌더’는 대체로 무난하다는 평가가 많다. 긍정적으로는 가격·가성비, 사용감·관리를 만족스럽게 평가한 리뷰가 많다. 부정적 의견은 많지 않다.","가격·가성비, 사용감·관리"
P00074,이동식 옷걸이 행거,11,2.91,4,5,"‘이동식 옷걸이 행거’는 호불호가 갈리는 편이다. 긍정적으로는 가격·가성비, 사용감·관리를 만족스럽게 평가한 리뷰가 많다. 다만 일부 고객은 배송·포장, 가격·가성비에 대한 아쉬움을 남겼다.","가격·가성비, 사용감·관리"
P00071,속건 마이크로화이버 타월 3매,11,2.55,3,6,"‘속건 마이크로화이버 타월 3매’는 호불호가 갈리는 편이다. 긍정적으로는 사용감·관리를 만족스럽게 평가한 리뷰가 많다. 다만 일부 고객은 배송·포장, 가격·가성비에 대한 아쉬움을 남겼다.",사용감·관리
P00028,극세사 양말 5켤레 세트,11,3.55,6,4,"‘극세사 양말 5켤레 세트’는 대체로 무난하다는 평가가 많다. 긍정적으로는 가격·가성비, 사이즈·핏, 소재·마감을 만족스럽게 평가한 리뷰가 많다. 다만 일부 고객은 색상, 소재·마감에 대한 아쉬움을 남겼다.","가격·가성비, 사이즈·핏, 소재·마감"
P00032,실리콘 주방도구 7종 세트,11,4.36,9,0,"‘실리콘 주방도구 7종 세트’는 전반적으로 만족도가 높은 편이다. 긍정적으로는 가격·가성비, 소재·마감, 사용감·관리를 만족스럽게 평가한 리뷰가 많다. 부정적 의견은 많지 않다.","가격·가성비, 소재·마감, 사용감·관리"
P00054,오버핏 트렌치 코트,11,3.64,6,4,"‘오버핏 트렌치 코트’는 대체로 무난하다는 평가가 많다. 긍정적으로는 배송·포장, 가격·가성비, 색상을 만족스럽게 평가한 리뷰가 많다. 다만 일부 고객은 배송·포장, 가격·가성비에 대한 아쉬움을 남겼다.","배송·포장, 가격·가성비, 색상"
P00008,하이웨스트 청바지,11,2.73,3,6,"‘하이웨스트 청바지’는 호불호가 갈리는 편이다. 긍정적으로는 가격·가성비, 사이즈·핏, 사용감·관리를 만족스럽게 평가한 리뷰가 많다. 다만 일부 고객은 배송·포장, 가격·가성비에 대한 아쉬움을 남겼다.","가격·가성비, 사이즈·핏, 사용감·관리"
P00070,호텔식 베이직 타월 4매,10,4.2,7,1,"‘호텔식 베이직 타월 4매’는 전반적으로 만족도가 높은 편이다. 긍정적으로는 배송·포장, 가격·가성비, 소재·마감을 만족스럽게 평가한 리뷰가 많다. 부정적 의견은 많지 않다.","배송·포장, 가격·가성비, 소재·마감"
P00034,유리 밀폐용기 10종 세트,10,3.5,4,2,"‘유리 밀폐용기 10종 세트’는 대체로 무난하다는 평가가 많다. 긍정적으로는 가격·가성비, 사용감·관리를 만족스럽게 평가한 리뷰가 많다. 다만 일부 고객은 가격·가성비, 내구성에 대한 아쉬움을 남겼다.","가격·가성비, 사용감·관리"
P00048,서랍 정리 칸막이 세트,10,3.7,6,2,"‘서랍 정리 칸막이 세트’는 대체로 무난하다는 평가가 많다. 긍정적으로는 가격·가성비, 사용감·관리를 만족스럽게 평가한 리뷰가 많다. 다만 일부 고객은 가격·가성비, 내구성에 대한 아쉬움을 남겼다.","가격·가성비, 사용감·관리"
P00055,베이직 데님 자켓,9,3.11,3,3,"‘베이직 데님 자켓’은 호불호가 갈리는 편이다. 긍정적으로는 가격·가성비, 색상, 사용감·관리를 만족스럽게 평가한 리뷰가 많다. 다만 일부 고객은 색상, 소재·마감에 대한 아쉬움을 남겼다.","가격·가성비, 색상, 사용감·관리"
P00056,플로럴 셔링 원피스,9,3.67,5,2,"‘플로럴 셔링 원피스’는 대체로 무난하다는 평가가 많다. 긍정적으로는 가격·가성비, 사이즈·핏, 색상을 만족스럽게 평가한 리뷰가 많다. 다만 일부 고객은 색상, 소재·마감에 대한 아쉬움을 남겼다.","가격·가성비, 사이즈·핏, 색상"
