probe_id,question,probe_type,grounded_answer,source_doc
H001,단순 변심으로 반품하면 배송비는 누가 부담하나요?,정책지식,"단순 변심 반품의 왕복 배송비 6,000원은 고객이 부담합니다.",return_exchange_policy
H002,반품하면 환불은 언제 되나요?,정책지식,"반품 상품 회수·검수 완료 후 3영업일 이내 처리되며, 카드는 카드사 사정으로 3~5영업일이 더 걸릴 수 있습니다.",return_exchange_policy
H003,한 번 입은 옷도 반품되나요?,정책지식,착용·세탁 등으로 상품 가치가 훼손된 경우 반품이 제한됩니다.,return_exchange_policy
H004,골드 등급이 되려면 얼마를 사야 하나요?,정책지식,최근 6개월 누적 실결제 금액이 30만원 이상이면 골드 등급이 됩니다.,membership_policy
H005,적립금 유효기간이 있나요?,정책지식,"네, 적립금 유효기간은 적립일로부터 1년이며 경과 시 자동 소멸합니다.",membership_policy
H006,입사 1년이 지나면 연차가 며칠인가요?,사내규정,입사 1년 이상이면 연 15일의 연차가 부여됩니다.,hr_policy
H007,본인 결혼 시 경조 휴가는 며칠인가요?,사내규정,본인 결혼 시 유급휴가 5일이 부여됩니다.,hr_policy
H008,병가를 쓸 때 진단서가 꼭 필요한가요?,사내규정,병가가 3일을 초과하는 경우 진단서를 제출해야 합니다.,hr_policy
H009,지금 진행 중인 할인 행사가 뭐가 있나요?,최신성,"실시간 프로모션 정보로, 모델 지식만으로는 답할 수 없음(운영 데이터 필요)",
H010,오늘 가장 많이 팔린 상품이 뭐예요?,최신성,실시간 판매 데이터가 필요하며 모델이 알 수 없음,
H011,최근에 배송정책이 바뀐 게 있나요?,최신성,정책 개정 여부는 최신 문서 확인이 필요함,
H012,내 주문 지금 어디까지 왔어요?,최신성,개별 주문 상태는 orders 데이터 조회가 필요함(도구 호출 대상),
