log_id,timestamp,channel,user_type,query,predicted_intent,confidence,route,source_doc,latency_ms,fallback,feedback
LOG00001,2026-06-13 00:15:00,웹,직원,연차 1년 차면 며칠인가요?,-,0.61,사내규정-RAG,employee_regulations,1422,N,싫어요
LOG00002,2026-06-12 03:27:00,웹,고객,알러지가 있는데 소재에 라텍스나 금속 성분 들어가나요?,상품정보,0.71,고객CS-RAG,faq,2399,N,좋아요
LOG00003,2026-06-04 13:27:00,카카오톡상담,고객,주문한 지 일주일 됐는데 왜 이렇게 배송이 느린가요?,배송문의,0.84,고객CS-RAG,return_exchange_policy,1556,N,싫어요
LOG00004,2026-06-10 07:43:00,웹,고객,해외 상품 설명 번역해줘,-,0.86,응용-번역,,1190,N,좋아요
LOG00005,2026-06-02 20:45:00,카카오톡상담,고객,출고 전이라고 안내받았는데 취소 접수 좀 서둘러 주세요. 확인 부탁드립니다.,취소,0.58,응용/안내,,3126,Y,싫어요
LOG00006,2026-06-06 19:48:00,앱,직원,유연근무 출근 시간 몇 시까지 선택돼요?,-,0.69,사내규정-RAG,hr_policy,1005,N,싫어요
LOG00007,2026-06-11 06:37:00,웹,직원,도서구입비 지원 얼마인가요?,-,0.6,사내규정-RAG,hr_policy,1407,N,좋아요
LOG00008,2026-06-08 06:18:00,웹,고객,카드 할부로 샀는데 환불하면 할부도 자동으로 취소되나요? 감사합니다.,환불,0.59,고객CS-RAG,product_care_guide,1901,Y,싫어요
LOG00009,2026-06-10 00:46:00,웹,고객,문의드립니다. 이 운동화 쿠션감이 좋은 편인가요? 오래 걸어도 편한지요. 감사합니다.,상품정보,0.63,고객CS-RAG,return_exchange_policy,2565,N,좋아요
LOG00010,2026-06-12 08:37:00,앱,고객,수고 많으세요. 사진이랑 실물 품질 차이가 너무 커서 반품 신청합니다.,반품,0.76,고객CS-RAG,membership_policy,935,N,좋아요
LOG00011,2026-06-04 03:39:00,웹,고객,수고 많으세요. 환승 물류센터에서 며칠째 멈춰 있는데 분실된 건 아닌지요. 빠른 답변 부탁드려요.,배송문의,0.63,고객CS-RAG,membership_policy,3112,N,싫어요
LOG00012,2026-06-06 04:19:00,앱,고객,문의드립니다. 버튼이 하나 빠져 있어서 새것으로 교환 요청드려요.,교환,0.75,고객CS-RAG,faq,3148,N,좋아요
LOG00013,2026-06-01 10:47:00,카카오톡상담,고객,리뷰 한 줄 요약 부탁,-,0.72,응용-번역,,3204,N,싫어요
LOG00014,2026-06-11 01:09:00,앱,고객,결제는 됐는데 재고가 없다고 다시 연락이 왔어요. 어떻게 되나요?,주문결제,0.89,응용/안내,,3025,N,싫어요
LOG00015,2026-06-13 02:05:00,앱,고객,지금 출고됐나요? 빠른배송으로 받아볼 수 있는지 궁금해요. 감사합니다.,배송문의,0.82,고객CS-RAG,product_care_guide,2644,N,좋아요
LOG00016,2026-06-03 01:19:00,카카오톡상담,고객,안녕하세요. 광고 문자 수신 거부하고 싶은데 어떻게 하나요?,기타,0.65,응용/안내,,2015,N,싫어요
LOG00017,2026-06-11 12:50:00,웹,고객,안녕하세요. 환불은 됐다는데 부분 금액만 들어와서 나머지가 궁금해요. 빠른 답변 부탁드려요.,환불,0.97,고객CS-RAG,return_exchange_policy,2051,N,좋아요
LOG00018,2026-06-08 12:40:00,앱,고객,리뷰 한 줄 요약 부탁,-,0.75,응용-요약,,3725,N,좋아요
LOG00019,2026-06-06 02:35:00,카카오톡상담,고객,이 상품 리뷰 요약해줘,-,0.95,응용-번역,,2160,N,싫어요
LOG00020,2026-06-14 19:55:00,앱,고객,이 상품 리뷰 요약해줘,-,0.89,응용-요약,,2956,N,좋아요
LOG00021,2026-06-07 00:20:00,웹,고객,옵션을 잘못 선택해서 다른 사이즈로 바꿔주실 수 있나요?,교환,0.58,고객CS-RAG,membership_policy,2743,Y,싫어요
LOG00022,2026-06-02 00:29:00,앱,고객,문의드립니다. 엘리베이터 공사 중이라 1층에 두고 가시라고 메모 남길 수 있나요?,배송문의,0.97,고객CS-RAG,return_exchange_policy,3172,N,좋아요
LOG00023,2026-06-02 17:29:00,웹,고객,수고 많으세요. 주문 취소 요청했는데 아직 처리중으로만 떠 있어요. 확인해 주세요.,취소,0.59,응용/안내,,1473,Y,싫어요
LOG00024,2026-06-01 01:59:00,앱,직원,배우자 출산휴가 일수 알려주세요.,-,0.96,사내규정-RAG,employee_regulations,2294,N,좋아요
