inquiry_id,received_at,channel,customer_id,product_id,inquiry_type,inquiry_text,status
C00001,2026-04-06 21:52,앱,U12225,P00031,상품정보,머그컵 전자레인지 사용 가능한지 궁금합니다.,접수
C00002,2026-05-11 11:00,카카오톡상담,U63093,P00028,반품,"선물하려고 산 디퓨저인데, 받는 분이 이미 가지고 있다고 해서요. 다시 보내드리려면 어떤 절차를 거쳐야 하나요?",처리중
C00003,2026-04-07 16:37,웹,U49673,P00001,상품정보,"퀸 사이즈 침대 커버, 상세 페이지에 보이는 패턴 외에 다른 패턴은 없나요?",처리중
C00004,2026-04-27 17:58,카카오톡상담,U37389,P00055,배송문의,제주도인데 추가 배송비가 붙나요? 얼마 정도 예상해야 할까요?,처리중
C00005,2026-04-17 00:42,웹,U38891,P00028,배송문의,실수로 예전 주소로 시켰어요. 혹시 변경 가능할까요? 새 주소는 서울 강남구 테헤란로 123입니다.,답변완료
C00006,2026-05-28 05:35,앱,U41105,P00008,상품정보,혹시 이 블라우스 팔 부분이 너무 조이는 편인가요? 제가 팔뚝이 좀 있어서요.,답변완료
C00007,2026-05-28 17:13,카카오톡상담,U65910,P00068,주문결제,어제 구매한 디퓨저 세트 결제 취소했는데 아직 카드사 승인 취소 문자가 안 왔어요. 언제쯤 처리되나요?,접수
C00008,2026-04-07 12:32,앱,U24357,P00009,반품,원래 구매하려던 디자인이 아니라서요. 이거 다시 가져가실 수 있을까요?,답변완료
C00009,2026-04-24 20:03,카카오톡상담,U15714,P00073,반품,"아이 옷을 시켰는데, 오염된 채로 왔습니다. 사진 찍어놨는데, 이거 다시 가져가 주실 수 있을까요?",접수
C00010,2026-05-28 04:58,앱,U10746,P00054,교환,스키니진 28사이즈가 너무 꽉 껴서 불편해요. 한 사이즈 업해서 29로 다시 보내주세요.,처리완료
C00011,2026-04-27 07:37,웹,U41181,P00031,배송문의,"방금 택배 배송 완료라고 뜨는데, 문 앞에도 없고 경비실에도 없어요. 확인 부탁드립니다.",처리완료
C00012,2026-05-10 10:14,웹,U39322,P00059,회원멤버십,비밀번호를 여러 번 잘못 눌러서 계정이 잠긴 것 같아요. 해제 좀 부탁드립니다. 급하게 필요한 물건이 있는데 주문을 못하고 있어요.,처리완료
C00013,2026-04-09 01:02,앱,U60069,P00073,배송문의,"그릇 세트 시켰는데, 깨지지 않게 꼼꼼하게 포장해서 보내주시면 감사하겠습니다.",답변완료
C00014,2026-04-09 02:42,웹,U66308,P00034,취소,"아, 제가 같은 상품을 두 번 결제했네요. [주문번호: 20240520-111222] 이거 하나만 배송하지 마시고 환불해주세요.",접수
C00015,2026-05-05 21:14,앱,U32019,P00048,주문결제,옷 여러 벌이랑 식기 세트 샀는데 결제는 한 번만 됐는지 궁금합니다. 혹시 각각 결제된 건 아니겠죠?,처리완료
C00016,2026-04-17 07:34,카카오톡상담,U39652,P00068,회원멤버십,"이번에 이벤트 쿠폰을 받았는데, 다음 주문에 적용이 안 되네요. 유효기간이 지났나요? 아니면 특정 상품에만 되는 건가요?",답변완료
C00017,2026-05-25 20:19,전화,U13578,P00018,회원멤버십,"이사해서 주소를 변경해야 하는데, 마이페이지 어디서 수정하는 건가요? 다음 배송지 정보가 바뀌어야 해서요.",처리완료
C00018,2026-04-13 04:58,앱,U20375,P00035,재입고,"재입고 알림 신청은 했는데, 이 트레이닝복 상하 세트 다시 살 수 있는 거죠?",처리완료
C00019,2026-05-30 17:21,웹,U44943,P00027,취소,[주문번호: 20240520-654321] 에어프라이어 주문건인데요. 제가 주소지를 잘못 입력했어요. 수정보다는 그냥 안 보내주셨으면 해요.,처리완료
C00020,2026-05-21 01:41,카카오톡상담,U32915,P00007,취소,"음.. 침대 패드를 주문했는데요, 다른 사이트에서 더 마음에 드는 걸 찾아서요. 번거로우시겠지만 이 주문건 취소 가능할까요?",답변완료
C00021,2026-05-13 03:00,전화,U05779,P00001,주문결제,네이버페이로 결제했는데 승인 취소가 자꾸 지연돼요. 확인 좀 해주세요.,처리완료
C00022,2026-04-14 16:49,전화,U21179,P00057,회원멤버십,"아이가 학교 준비물로 필요한 옷이 있어서 가입하려고 하는데, 미성년자도 보호자 동의 없이 가입할 수 있나요?",처리중
C00023,2026-05-26 11:00,앱,U14664,P00010,교환,"모자 흰색으로 받았는데, 때 탈까 봐 걱정돼서 검정색으로 바꿔주실 수 있을까요?",접수
