foreign_id,language,source_name,source_desc,ref_name_ko,ref_desc_ko
F0001,EN,Oversized Cotton Hoodie,"Soft brushed fleece inside, relaxed unisex fit. Pre-shrunk cotton blend, machine washable. Available in 5 colors.",오버사이즈 코튼 후디,안감은 부드러운 기모로 처리되어 있으며 남녀공용 릴렉스 핏입니다. 수축 가공된 면 혼방 소재로 세탁기 사용이 가능합니다. 5가지 색상으로 제공됩니다.
F0002,EN,Slim Fit Stretch Chino Pants,"4-way stretch fabric for all-day comfort. Wrinkle-resistant, tapered leg, hidden coin pocket.",슬림핏 스트레치 치노 팬츠,"4방향 신축성 원단으로 하루 종일 편안합니다. 구김이 잘 가지 않고 테이퍼드 핏이며, 히든 동전 주머니가 있습니다."
F0003,EN,Lightweight Running Sneakers,Breathable mesh upper with cushioned EVA midsole. True to size. Ideal for daily jogging and walking.,경량 러닝 스니커즈,통기성 좋은 메시 갑피와 쿠션감 있는 EVA 미드솔을 적용했습니다. 정사이즈이며 일상 조깅과 워킹에 적합합니다.
F0004,EN,Stainless Steel Insulated Tumbler 500ml,Double-wall vacuum insulation keeps drinks cold 12h / hot 6h. Leak-proof lid. BPA free.,스테인리스 진공 보온보냉 텀블러 500ml,"이중벽 진공 단열로 차가운 음료는 12시간, 뜨거운 음료는 6시간 유지됩니다. 누수 방지 뚜껑이며 BPA 프리입니다."
F0005,EN,Non-slip Velvet Hangers 50 Pack,Space-saving ultra-thin design with non-slip flocked surface. 360-degree swivel hook.,미끄럼 방지 벨벳 옷걸이 50개 세트,공간 절약형 초슬림 디자인에 미끄럼 방지 플로킹 표면을 적용했습니다. 360도 회전 후크가 달려 있습니다.
F0006,EN,Quick-dry Microfiber Bath Towel Set,"Highly absorbent and fast drying. Lightweight, perfect for home, gym, and travel.",속건성 극세사 바스타월 세트,흡수력이 뛰어나고 빨리 마릅니다. 가볍워 가정용은 물론 헬스장과 여행용으로도 좋습니다.
F0007,ZH,纯棉宽松圆领短袖T恤,100%精梳棉，亲肤透气，落肩版型，男女同款。多色可选，水洗不易变形。,순면 루즈핏 라운드넥 반팔 티셔츠,"100% 코마사 면으로 피부에 부드럽고 통기성이 좋으며, 드롭숄더 핏의 남녀공용입니다. 다양한 색상이 있으며 물세탁해도 변형이 적습니다."
F0008,ZH,高腰显瘦阔腿牛仔裤,弹力舒适面料，高腰设计修饰身形，垂感好不易皱，四季可穿。,하이웨스트 슬림 와이드 데님 팬츠,"신축성 있는 편안한 원단으로, 하이웨스트 디자인이 체형을 보정해 줍니다. 드레이프가 좋고 구김이 적어 사계절 착용할 수 있습니다."
F0009,ZH,便携无线手持吸尘器,大吸力低噪音，USB充电，附两种吸头，适合车内与桌面清洁。,휴대용 무선 핸디 청소기,강한 흡입력에 저소음이며 USB 충전식입니다. 두 가지 흡입구가 포함되어 차량 내부와 책상 청소에 적합합니다.
F0010,ZH,硅胶折叠保鲜盒套装,食品级硅胶，可折叠省空间，耐高温可微波，密封防漏，一套4件。,실리콘 접이식 밀폐용기 세트,"식품용 실리콘 소재로 접어서 공간을 절약할 수 있습니다. 고온에 강해 전자레인지 사용이 가능하고 밀폐가 잘되어 새지 않으며, 4개 한 세트입니다."
F0011,EN,Memory Foam Pillow 2-Pack,Ergonomic contour support with breathable cover. Hypoallergenic. Machine-washable cover.,메모리폼 베개 2개 세트,인체공학적 곡선이 목을 받쳐 주며 통기성 좋은 커버를 사용했습니다. 저자극 소재이고 커버는 세탁기 사용이 가능합니다.
F0012,ZH,防滑浴室脚垫两件套,强力吸水超细纤维，背面防滑颗粒，机洗不掉毛，浴室门口两用。,미끄럼 방지 욕실 발매트 2종 세트,강한 흡수력의 극세사 소재에 뒷면은 미끄럼 방지 돌기 처리가 되어 있습니다. 기계 세탁해도 보풀이 빠지지 않으며 욕실과 현관 양쪽에 사용할 수 있습니다.
F0013,EN,Adjustable Laptop Stand,"Aluminum alloy, foldable and portable. Ergonomic height adjustment improves posture. Fits 11-17 inch laptops.",높이조절 노트북 거치대,"알루미늄 합금 소재로 접이식이며 휴대가 간편합니다. 인체공학적 높이 조절로 자세를 개선해 주며, 11~17인치 노트북에 호환됩니다."
F0014,EN,Ceramic Non-stick Frying Pan 28cm,"PFOA-free ceramic coating, induction compatible. Even heat distribution, easy to clean. Ergonomic handle.",세라믹 논스틱 프라이팬 28cm,"PFOA 무함유 세라믹 코팅으로 인덕션에 호환됩니다. 열이 고르게 전달되고 세척이 쉬우며, 인체공학적 손잡이가 적용되었습니다."
F0015,EN,Waterproof Canvas Backpack,"Water-resistant coated canvas with padded laptop compartment. Multiple pockets, breathable back panel.",방수 캔버스 백팩,발수 코팅 캔버스 소재에 패딩 노트북 수납공간이 있습니다. 다양한 포켓과 통기성 등판을 갖췄습니다.
F0016,EN,Linen Blend Summer Shirt,"Breathable linen-cotton blend, relaxed fit. Naturally cool and lightweight, perfect for hot weather.",린넨 혼방 여름 셔츠,통기성 좋은 린넨-코튼 혼방의 릴렉스 핏입니다. 자연스럽게 시원하고 가벼워 더운 날씨에 적합합니다.
F0017,EN,Stainless Steel Cutlery Set 16pcs,"Mirror-polished 18/10 stainless steel. Dishwasher safe, service for 4. Rust-resistant and durable.",스테인리스 커트러리 16종 세트,"거울처럼 광택 처리된 18/10 스테인리스 소재입니다. 식기세척기 사용이 가능하고 4인용 구성이며, 녹이 슬지 않고 내구성이 좋습니다."
F0018,ZH,加厚保暖针织围巾,柔软亲肤腈纶混纺，加厚保暖，男女通用，多色可选，秋冬必备单品。,기모 보온 니트 머플러,"부드럽고 피부에 자극이 적은 아크릴 혼방으로 도톰하고 따뜻하며, 남녀공용에 다양한 색상이 있어 가을·겨울 필수 아이템입니다."
F0019,ZH,便携折叠雨伞,十骨防风结构，超大伞面，一键自动开收，防紫外线涂层，轻巧便携。,휴대용 접이식 우산,10개 우산살의 방풍 구조에 초대형 우산면을 갖췄습니다. 원터치 자동 개폐와 자외선 차단 코팅이 적용되어 가볍고 휴대가 편합니다.
F0020,ZH,无线蓝牙耳机,蓝牙5.3低延迟，入耳式降噪，单次续航6小时，含充电仓共24小时，IPX4防汗。,무선 블루투스 이어폰,"블루투스 5.3 저지연에 커널형 노이즈 캔슬링을 지원합니다. 1회 6시간, 충전 케이스 포함 총 24시간 재생되며 IPX4 생활방수입니다."
F0021,ZH,记忆棉护颈枕,慢回弹记忆棉，贴合颈部曲线，透气网布外套可拆洗，缓解颈部疲劳。,메모리폼 경추 베개,천천히 복원되는 메모리폼이 목 곡선에 밀착됩니다. 통기성 메시 커버는 분리 세탁이 가능하며 목의 피로를 덜어 줍니다.
F0022,EN,Insulated Lunch Bag,"Leak-proof thermal insulation keeps food fresh for hours. Foldable, easy to clean, with sturdy handle.",보온·보냉 도시락 가방,새지 않는 단열 처리로 음식을 오래 신선하게 유지합니다. 접이식이라 보관이 쉽고 세척이 간편하며 튼튼한 손잡이가 달려 있습니다.
F0023,EN,Yoga Mat Non-slip 6mm,"Eco-friendly TPE material, double-sided non-slip texture. 6mm cushioning protects joints. Lightweight with carry strap.",미끄럼 방지 요가매트 6mm,친환경 TPE 소재로 양면 미끄럼 방지 텍스처가 있습니다. 6mm 쿠션이 관절을 보호하며 가볍고 휴대용 스트랩이 포함됩니다.
F0024,ZH,简约桌面收纳盒,多格分类设计，优质材质易清洁，适合办公桌与化妆台，节省空间。,심플 데스크 수납함,여러 칸으로 분류할 수 있는 디자인에 청소가 쉬운 고급 소재를 사용했습니다. 사무용 책상과 화장대에 적합하며 공간을 절약해 줍니다.
