review_id,product_name,rating,review_text,created_at
R00136,극세사 양말 5켤레 세트,1,  사진이랑 색이 달라요.   블랙인 줄 알았는데 실제론 좀 칙칙합니다. ㅋㅋㅋ❤️,02/05/2026
R00007,모달 차렵이불 SS,5,SS 주문했는데 정사이즈로 딱 맞아요. 핏이 군더더기 없이 예쁩니다. 🔥❤️<br>재구매의사있어요,2026-05-01
R00402,스팀 극세사 물걸레 리필 5매,3,나쁘진 않은데 특별히 좋지도 않은 평범한 제품이에요.<br>재구매의사있어요,2026-05-11
R00212,베이직 라운드넥 반팔티,4,XL 주문했는데 정사이즈로 딱 맞아요. 핏이 군더더기 없이 예쁩니다. ❤️😭👍,21/02/2026
R00012,이동식 옷걸이 행거,2,배송이 일주일 넘게 걸렸어요. 급하게 필요했는데 넘넘 늦게 왔네요. ㅋㅋㅋ🥹,2026.03.12
R00241,실리콘 주방도구 7종 세트,5,세척도 쉽고 관리가 편해서 손이 자주 가네요.,2026.05.06
R00031,북유럽풍 도자기 접시 4P,5,배송도 빠르고 포장도 꼼꼼해서 기분 좋게 받았어요. ㅋㅋㅋ,2026-03-07
R00351,오버핏 트렌치 코트,5,가격&nbsp;대비 퀄리티가 정말 좋습니다. 재구매 의사 100%예요.,2026.06.05
R00356,오버핏 트렌치 코트,3,배송은 평범했고 제품은 딱 사진만큼이에요. 그냥저냥 입을 만합니다. 😍,02/04/2026
R00335,통3중 스테인리스 냄비 세트,5,선물했는데 실용적이라 아주 좋아하시더라고요.,2026.06.06
R00118,유리 밀폐용기 10종 세트,3,  기능은 괜찮은데 설명서가 좀 부실해서 처음엔 헤맸어요.   ㅋㅋㅋ,2026.04.08
R00320,서랍 정리 칸막이 세트,5,튼튼하고 사용하기 편해요. 견고해서 재구매 의사 있습니다.,2026-02-28
R00357,오버핏 트렌치 코트,2,사진이랑 색이 달라요. 카키인 줄 알았는데 실제론 좀 칙칙합니다. ❤️ㅋㅋㅋ,2026.01.30
R00369,미니 핸드블렌더,3,  딱&nbsp;사진만큼이에요.   그냥저냥 쓸 만합니다.<br>재구매의사있어요,2026.02.13
R00163,탁상용 USB 서큘레이터,4,세척도 쉽고 관리가 편해서 손이 자주 가네요.,2026.05.03
R00159,탁상용 USB 서큘레이터,5,가격 대비 퀄리티가 좋습니다. 실용적이라 매일 잘 쓰고 있어요. 😍🥹<br>재구매의사있어요,2026-05-07
R00397,스팀 극세사 물걸레 리필 5매,1,사용한&nbsp;지 얼마 안 됐는데 금방 고장 났어요. 내구성이 아쉽습니다. ㅋㅋㅋ...ㅎ<br>재구매의사있어요,02/06/2026
R00230,무선 미니 핸디 청소기,5,세척도&nbsp;쉽고 관리가 편해서 손이 자주 가네요. ㅠㅠ...ㅎ👍,17/03/2026
R00094,슬림 카드지갑,4,가격 대비 퀄리티가 정말 좋습니다. 재구매 의사 100%예요. 👍<br>재구매의사있어요,2026-04-12
R00145,베이직 데님 자켓,2,S 시켰는데 넘넘 작게 나와요. 한 치수 크게 사야 할 것 같아요. ❤️<br>재구매의사있어요,2026.02.28
R00104,속건 마이크로화이버 타월 3매,1,배송이&nbsp;일주일 넘게 걸렸어요. 급하게 필요했는데 너무 늦게 왔네요. 😭ㅠㅠ🥹,2026.01.13
R00349,논슬립 옷걸이 30개입,2,  사용한 지 얼마 안 됐는데 금방 고장 났어요.   내구성이 아쉽습니다.<br>재구매의사있어요,22/02/2026
R00304,와이드 데님 팬츠,5,  마감 처리가 깔끔하고 소재도 생각보다 탄탄해서 만죡스러워요.  <br>재구매의사있어요,2026-02-13
R00035,스탠다드 피케 카라티,5,  세탁해도&nbsp;변형이나 보풀 없이 그대로라 관리가 편해요.  ,2026-02-16
R00264,1초 완속 충전 멀티탭 6구,2,배송이 일주일 넘게 걸렸어요. 급하게 필요했는데 너무 늦게 왔네요.,2026.03.17
R00031,북유럽풍 도자기 접시 4P,5,배송도 빠르고 포장도 꼼꼼해서 기분 좋게 받았어요. ㅋㅋㅋ,2026-03-07
R00072,호텔식 베이직 타월 4매,5,  배송도 빠르고 포장도 꼼꼼해서 기분 좋게 받았어요.  ,2026-05-16
R00191,다용도 부직포 수납박스 3종,3,  무난해요.   이 가격이면 이 정도가 적당한 것 같습니다.,2026-03-22
R00220,알러지케어 매트리스 커버 Q,2,  Q 시켰는데 너무 작게 나와요.   한 치수 크게 사야 할 것 같애요.   !!!!👍<br>재구매의사있어요,2026.04.24
R00326,경량 구스 다운 베스트,2,사진이랑 색이 달라요. 그레이인 줄 알았는데 실제론 좀 칙칙합니다. 😭!!!!ㅠㅠ,2026.02.04
R00117,1.7L 전기포트,,기능은 괜찮은데 설명서가 좀 부실해서 처음엔 헤맸어요. 👍ㅠㅠ...ㅎ<br>재구매의사있어요,2026-04-15
R00154,플로럴 셔링 원피스,4,그린&nbsp;색상 실물이 화면보다 더 이뻐요. 데일리로 자주 손이 갈 것 같애요.,2026.02.07
R00246,고밀도 코튼 셔츠,5,  배송도 빠르구 포장도 꼼꼼하게 잘 와서 기분 좋게 받았어요.   ㅋㅋㅋ❤️,2026.06.02
R00321,서랍 정리 칸막이 세트,2,냄새가 좀 심해서 환기 한참 시켰어요. 이 부분은 개선됐으면 합니다. ❤️...ㅎ,2026.04.14
R00375,하이웨스트 청바지,2,며칠&nbsp;안 입었는데 벌써 올이 나가고 마감이 엉성해요. 좀 실망입니다. ㅠㅠ!!!!😭<br>재구매의사있어요,2026.04.28
R00412,저소음 미니 가습기 3L,,  며칠&nbsp;안 됐는데 벌써 흠집이 나고 마감이 엉성해요.   좀 실망입니다. 🔥,2026-05-27
R00314,서랍 정리 칸막이 세트,4,튼튼하고 사용하기 편해요. 견고해서 재구매 의사 있습니다. ㅋㅋㅋ❤️...ㅎ<br>재구매의사있어요,2026-05-13
R00303,와이드 데님 팬츠,,가격 대비 퀄리티가 정말 좋습니다. 재구매 의사 100%예요. ...ㅎ😭,2026.02.09
R00093,슬림 카드지갑,3,사이즈가 살짝 애매한데 못 입을 정도는 아니라 그냥 입으려고요.<br>재구매의사있어요,03/02/2026
R00368,미니 핸드블렌더,5,  가격&nbsp;대비 퀄리티가 좋습니다. 실용적이라 매일 잘 쓰고 있어요.   🔥...ㅎ👍,2026.03.13
R00027,북유럽풍 도자기 접시 4P,3,기능은 괜찮은데 설명서가 좀 부실해서 처음엔 헤맸어요. 😍,2026.01.29
R00137,극세사 양말 5켤레 세트,,며칠 안 입었는데 벌써 올이 나가고 마감이 엉성해요. 좀 실망입니다. ㅋㅋㅋ🥹😍,25/01/2026
R00043,코튼 밴딩 팬츠,3,무난해요.&nbsp;엄청 특별하진 않지만 이 가격이면 이 정도가 적당한 듯합니다. ㅠㅠ🥹<br>재구매의사있어요,2026.06.05
R00122,유리 밀폐용기 10종 세트,4,가격 대비 퀄리티가 좋습니다. 실용적이라 매일 잘 쓰고 있어요.<br>재구매의사있어요,2026.04.27
R00265,1초 완속 충전 멀티탭 6구,,  튼튼하고 사용하기 편해요.   견고해서 재구매 의사 있습니다. ❤️🥹...ㅎ,2026.05.24
R00223,무선 미니 핸디 청소기,5,세척도 쉽고 관리가 편해서 손이 자주 가네요. 😭ㅋㅋㅋ,2026.05.16
R00406,스팀 극세사 물걸레 리필 5매,2,생각보다 부실해요. 가격값을 못 하는 느낌이라 반품 고민 중입니다. ㅠㅠ❤️<br>재구매의사있어요,2026.01.18
R00269,무타공 스테인리스 선반 2단,,며칠&nbsp;안 됐는데 벌써 흠집이 나고 마감이 엉성해요. 좀 실망입니다.<br>재구매의사있어요,2026.05.21
R00178,2구 인덕션 레인지,2,생각보다&nbsp;부실해요. 가격값을 못 하는 느낌이라 반품 고민 중입니다.,2026-05-26
R00267,무타공 스테인리스 선반 2단,5,튼튼하고 사용하기 편해요. 견고해서 재구매 의사 있습니다.,2026-02-27
R00085,슬림 카드지갑,5,블랙&nbsp;색상 실물이 화면보다 더 예뻐요. 데일리로 자주 손이 갈 것 같아요. 😭...ㅎ,2026-02-25
R00191,다용도 부직포 수납박스 3종,3,  무난해요.   이 가격이면 이 정도가 적당한 것 같습니다.,2026-03-22
R00328,경량 구스 다운 베스트,,무난해요. 엄청 특별하진 않지만 이 가격이면 이 정도가 적당한 듯합니다. 🥹😍,2026-02-22
R00311,에어쿨 기능성 반팔티,5,세탁해도 변형이나 보풀 없이 그대로라 관리가 편해요. ...ㅎㅠㅠ,2026-04-29
R00209,베이직 라운드넥 반팔티,5,  세탁해도 변형이나 보풀 없이 그대로라 관리가 편해요.  <br>재구매의사있어요,2026.06.08
R00077,원목 도마 대형,5,마감이 깔끔하고 무게감도 있어서 안정적이에요. 만죡합니다. 😭ㅋㅋㅋ❤️,2026-02-18
R00290,항균 코일 샤워호스,4,배송도 빠르고 포장도 꼼꼼해서 기분 좋게 받았어요. ❤️...ㅎ,2026.01.18
R00101,속건 마이크로화이버 타월 3매,1,사용한 지 얼마 안 됐는데 금방 고장 났어요. 내구성이 아쉽습니다. ㅋㅋㅋ😍<br>재구매의사있어요,2026.04.10
R00089,슬림 카드지갑,3,블랙 색은 예쁜데 생각보다 도톰해서 계절 타는 느낌이에요.,2026.03.20
R00094,슬림 카드지갑,4,가격 대비 퀄리티가 정말 좋습니다. 재구매 의사 100%예요. 👍<br>재구매의사있어요,2026-04-12
R00356,오버핏 트렌치 코트,3,배송은 평범했고 제품은 딱 사진만큼이에요. 그냥저냥 입을 만합니다. 😍,02/04/2026
R00242,실리콘 주방도구 7종 세트,4,  세척도 쉽고 관리가 편해서 손이 자주 가네요.   😭👍ㅋㅋㅋ,2026-02-11
R00338,논슬립 옷걸이 30개입,,  마감이 깔끔하고 무게감도 있어서 안정적이에요.   만족합니다.<br>재구매의사있어요,2026.03.14
R00306,에어쿨 기능성 반팔티,5,  L 주문했는데 정사이즈로 딱 맞아요.   핏이 군더더기 없이 예쁩니다. 🔥<br>재구매의사있어요,2026.05.09
R00288,항균 코일 샤워호스,5,  세척도&nbsp;쉽고 관리가 편해서 손이 자주 가네요.   ...ㅎㅠㅠ❤️,2026-03-12
R00213,알러지케어 매트리스 커버 Q,1,  사진이랑 색이 달라요.   화이트인 줄 알았는데 실제론 좀 칙칙합니다. !!!!😍,2026-03-09
R00306,에어쿨 기능성 반팔티,5,  L 주문했는데 정사이즈로 딱 맞아요.   핏이 군더더기 없이 예쁩니다. 🔥<br>재구매의사있어요,2026.05.09
R00150,플로럴 셔링 원피스,3,  무난해요.  &nbsp;엄청 특별하진 않지만 이 가격이면 이 정도가 적당한 듯합니다. ㅠㅠ<br>재구매의사있어요,2026.05.29
R00027,북유럽풍 도자기 접시 4P,3,기능은 괜찮은데 설명서가 좀 부실해서 처음엔 헤맸어요. 😍,2026.01.29
R00144,베이직 데님 자켓,4,  카키&nbsp;색상 실물이 화면보다 더 예뻐요.   데일리로 자주 손이 갈 것 같애요.  ,2026-03-17
R00267,무타공 스테인리스 선반 2단,5,튼튼하고 사용하기 편해요. 견고해서 재구매 의사 있습니다.,2026-02-27
R00111,1.7L 전기포트,2,생각보다 부실해요. 가격값을 못 하는 느낌이라 반품 고민 중입니다. 🔥ㅠㅠ,2026.04.29
R00116,1.7L 전기포트,3,딱 사진만큼이에요. 그냥저냥 쓸 만합니다.<br>재구매의사있어요,2026.06.02
R00278,크롭 후드집업,3,화이트 색은 예쁜데 생각보다 도톰해서 계절 타는 느낌이에요. ...ㅎ,2026-02-26
