foreign_id,language,source_name,source_desc,category,local_price,currency,collected_at
F0001,EN,Oversized Cotton Hoodie,"Soft brushed fleece inside, relaxed unisex fit. Pre-shrunk cotton blend, machine washable. Available in 5 colors.",남성의류,71.36,USD,2026-02-02
F0002,EN,Slim Fit Stretch Chino Pants,"4-way stretch fabric for all-day comfort. Wrinkle-resistant, tapered leg, hidden coin pocket.",남성의류,70.67,USD,2026-02-03
F0003,EN,Lightweight Running Sneakers,Breathable mesh upper with cushioned EVA midsole. True to size. Ideal for daily jogging and walking.,신발,34.28,USD,2026-02-04
F0004,EN,Stainless Steel Insulated Tumbler 500ml,Double-wall vacuum insulation keeps drinks cold 12h / hot 6h. Leak-proof lid. BPA free.,주방용품,28.21,USD,2026-02-05
F0005,EN,Non-slip Velvet Hangers 50 Pack,Space-saving ultra-thin design with non-slip flocked surface. 360-degree swivel hook.,수납정리,76.0,USD,2026-02-06
F0006,EN,Quick-dry Microfiber Bath Towel Set,"Highly absorbent and fast drying. Lightweight, perfect for home, gym, and travel.",욕실용품,66.21,USD,2026-02-07
F0007,ZH,纯棉宽松圆领短袖T恤,100%精梳棉，亲肤透气，落肩版型，男女同款。多色可选，水洗不易变形。,여성의류,94.9,CNY,2026-02-08
F0008,ZH,高腰显瘦阔腿牛仔裤,弹力舒适面料，高腰设计修饰身形，垂感好不易皱，四季可穿。,여성의류,275.9,CNY,2026-02-09
F0009,ZH,便携无线手持吸尘器,大吸力低噪音，USB充电，附两种吸头，适合车内与桌面清洁。,생활가전,55.9,CNY,2026-02-10
F0010,ZH,硅胶折叠保鲜盒套装,食品级硅胶，可折叠省空间，耐高温可微波，密封防漏，一套4件。,주방용품,265.5,CNY,2026-02-11
F0011,EN,Memory Foam Pillow 2-Pack,Ergonomic contour support with breathable cover. Hypoallergenic. Machine-washable cover.,침구류,15.95,USD,2026-02-12
F0012,ZH,防滑浴室脚垫两件套,强力吸水超细纤维，背面防滑颗粒，机洗不掉毛，浴室门口两用。,욕실용품,149.4,CNY,2026-02-13
F0013,EN,Adjustable Laptop Stand,"Aluminum alloy, foldable and portable. Ergonomic height adjustment improves posture. Fits 11-17 inch laptops.",생활가전,22.6,USD,2026-02-14
F0014,EN,Ceramic Non-stick Frying Pan 28cm,"PFOA-free ceramic coating, induction compatible. Even heat distribution, easy to clean. Ergonomic handle.",주방용품,40.5,USD,2026-02-15
F0015,EN,Waterproof Canvas Backpack,"Water-resistant coated canvas with padded laptop compartment. Multiple pockets, breathable back panel.",가방,43.44,USD,2026-02-16
F0016,EN,Linen Blend Summer Shirt,"Breathable linen-cotton blend, relaxed fit. Naturally cool and lightweight, perfect for hot weather.",남성의류,27.01,USD,2026-02-17
F0017,EN,Stainless Steel Cutlery Set 16pcs,"Mirror-polished 18/10 stainless steel. Dishwasher safe, service for 4. Rust-resistant and durable.",주방용품,31.77,USD,2026-02-18
F0018,ZH,加厚保暖针织围巾,柔软亲肤腈纶混纺，加厚保暖，男女通用，多色可选，秋冬必备单品。,패션잡화,246.1,CNY,2026-02-19
F0019,ZH,便携折叠雨伞,十骨防风结构，超大伞面，一键自动开收，防紫外线涂层，轻巧便携。,패션잡화,142.0,CNY,2026-02-20
F0020,ZH,无线蓝牙耳机,蓝牙5.3低延迟，入耳式降噪，单次续航6小时，含充电仓共24小时，IPX4防汗。,생활가전,110.4,CNY,2026-02-21
F0021,ZH,记忆棉护颈枕,慢回弹记忆棉，贴合颈部曲线，透气网布外套可拆洗，缓解颈部疲劳。,침구류,122.7,CNY,2026-02-22
F0022,EN,Insulated Lunch Bag,"Leak-proof thermal insulation keeps food fresh for hours. Foldable, easy to clean, with sturdy handle.",주방용품,25.12,USD,2026-02-23
F0023,EN,Yoga Mat Non-slip 6mm,"Eco-friendly TPE material, double-sided non-slip texture. 6mm cushioning protects joints. Lightweight with carry strap.",생활가전,33.36,USD,2026-02-24
F0024,ZH,简约桌面收纳盒,多格分类设计，优质材质易清洁，适合办公桌与化妆台，节省空间。,수납정리,180.5,CNY,2026-02-25
