review_id,product_id,product_name,rating,title,content,purchase_option,helpful_count,created_at
R00001,P00043,모달 차렵이불 SS,2,예상보다 얇고 색상도 별로,모달이라 부드럽겠지 했는데 생각보다 힘없이 얇네요. 화면에서 본 색상도 실제론 좀 탁해서 실망했어요.,인디핑크/SS,8,2026-04-27
R00002,P00043,모달 차렵이불 SS,2,세탁 후 실밥이...,"처음 받았을 땐 괜찮았는데, 한 번 세탁하고 나니 여기저기 실밥이 튀어나와서 당황스럽습니다. 마감이 좀 아쉬워요.",라이트그레이/SS,5,2026-05-15
R00003,P00043,모달 차렵이불 SS,3,무난하게 사용 중입니다,"모달이라 부드럽긴 한데, 기대만큼 아주 포근한 느낌은 아니네요. SS 사이즈는 딱 맞아서 좋고 배송은 빨랐습니다.",차콜/Q,2,2026-02-25
R00004,P00043,모달 차렵이불 SS,5,인생 이불 찾았습니다!,"진짜 부드럽고 가벼워서 덮은 듯 안 덮은 듯 잠이 솔솔 와요. 아이 방에 사줬는데 너무 좋아하고, 색상도 은은하니 예쁩니다.",차콜/K,8,2026-01-28
R00005,P00043,모달 차렵이불 SS,3,가격 대비 괜찮은 편,"아주 최고라고는 못하겠지만, 이 가격에 이 정도 품질이면 나쁘지 않은 것 같아요. 다만 여름에 덮기엔 살짝 두툼한 감이 있네요.",인디핑크/Q,0,2026-02-23
R00006,P00043,모달 차렵이불 SS,5,촉감 최고! 컬러도 예뻐요,정말 부들부들하고 몸에 착 감기는 느낌이 너무 좋아요. 차콜 색상으로 구매했는데 고급스러워 보이고 세탁해도 변형 없어서 만족합니다.,차콜/K,5,2026-06-05
R00007,P00043,모달 차렵이불 SS,5,아침마다 일어나기 싫어요!,모달 이불 처음 써보는데 왜 이제야 샀을까요? 가볍고 통기성도 좋아서 한겨울 빼고 쭉 잘 쓸 것 같아요. 배송도 빠르고 포장도 깔끔했어요.,라이트그레이/SS,3,2026-05-01
R00008,P00043,모달 차렵이불 SS,3,그냥저냥 쓸 만해요,"특별히 좋지도 나쁘지도 않은 평범한 이불입니다. SS 사이즈는 넉넉하진 않지만 싱글 침대에 딱 맞고, 색상은 화면과 거의 같아요.",라이트그레이/Q,14,2026-02-03
R00009,P00074,이동식 옷걸이 행거,2,바퀴가 너무 뻑뻑해요,조립은 그럭저럭 했는데 바퀴가 너무 뻑뻑해서 이동이 거의 불가능하네요. 이걸 이동식이라고 할 수 있는지 모르겠어요.,단일,1,2026-02-28
R00010,P00074,이동식 옷걸이 행거,1,기대 이하였어요,광고 사진이랑 너무 달랐어요. 철제 부분이 너무 얇아서 옷 몇 벌 걸었는데 휘는 느낌이에요. 돈 아까워요.,단일,1,2026-04-26
R00011,P00074,이동식 옷걸이 행거,1,조립 불량에 녹까지...,"부품 하나가 아예 맞지 않아서 조립이 불가능했고, 심지어 봉 부분에 녹슨 자국까지 있네요. 바로 반품 요청했습니다.",단일,14,2026-01-23
R00012,P00074,이동식 옷걸이 행거,2,생각보다 많이 약해요,디자인은 괜찮은데 생각보다 너무 약해서 아쉬워요. 겨울 코트 몇 벌 걸었더니 휘청거려서 불안합니다.,단일,3,2026-03-12
R00013,P00074,이동식 옷걸이 행거,3,가격 생각하면 괜찮아요,"가격이 워낙 저렴해서 큰 기대는 안 했는데, 딱 그만큼이에요. 조립은 쉬웠지만, 고정 나사가 헐거워서 별로 튼튼하진 않네요.",단일,0,2026-01-22
R00014,P00074,이동식 옷걸이 행거,4,가성비 좋고 깔끔해요,배송도 빠르고 조립도 간단했어요. 무엇보다 블랙 색상이 깔끔해서 방 분위기랑 잘 어울리네요. 옷도 꽤 많이 걸 수 있어서 만족합니다.,단일,3,2026-05-15
R00015,P00074,이동식 옷걸이 행거,5,너무 좋아요! 강추!,진작 살 걸 그랬어요! 공간 활용에 최고입니다. 튼튼하고 바퀴도 부드럽게 잘 굴러가서 옷 정리하기 정말 편해졌어요.,단일,0,2026-05-11
R00016,P00074,이동식 옷걸이 행거,3,무난하게 사용 가능해요,"조립은 간단했고, 디자인도 심플해서 좋아요. 다만 바퀴 잠금장치가 살짝 뻑뻑하고, 최대 적재량이 생각보다 적은 것 같네요.",단일,5,2026-02-02
