inquiry_id,product_id,product_name,inquiry_topic,inquiry_text,created_at
Q00001,P00071,속건 마이크로화이버 타월 3매,규격,속건 마이크로화이버 타월 3매 실제 사이즈(가로세로높이)가 어떻게 되나요? 설치 공간을 재보려고요.,2026-04-30 03:44
Q00002,P00061,스탠다드 후드 집업,소재,스탠다드 후드 집업 소재가 비치는 편인가요? 안에 이너 받쳐 입어야 할까요?,2026-03-29 17:53
Q00003,P00075,조립식 3단 수납 선반,내구성,오래 써도 녹슬거나 휘지 않나요? 내구성이 어떤지 궁금해요.,2026-03-14 01:27
Q00004,P00043,모달 차렵이불 SS,배송,지금 주문하면 주말 전에 받아볼 수 있을까요?,2026-04-09 19:48
Q00005,P00001,베이직 라운드넥 반팔티,색상,네이비 색상 실물도 화면이랑 비슷한가요? 너무 쨍한 건 아닌지 궁금해요.,2026-04-30 10:58
Q00006,P00044,구스 10% 베개 2P,소재,촉감이 까슬한 편인가요 부드러운 편인가요? 세탁하면 보풀 생기나요?,2026-03-30 03:39
Q00007,P00006,고밀도 코튼 셔츠,색상,라벤더 말고 다른 색상 중에 뭐가 더 잘 나가나요? 추천 부탁드려요.,2026-04-20 17:43
Q00008,P00007,와이드 슬랙스,사이즈,와이드 슬랙스 사이즈가 작게 나온다는 후기가 있던데 한 치수 크게 주문할까요?,2026-04-04 12:23
Q00009,P00007,와이드 슬랙스,사이즈,키 168에 표준 체형인데 27 입으면 기장이랑 핏이 어느 정도 나올까요?,2026-04-10 19:24
Q00010,P00064,장지갑 클러치,소재,가죽인가요 합성인가요? 사용하다 보면 늘어나거나 갈라지나요?,2026-03-07 11:09
Q00011,P00017,스트레치 치노팬츠,사이즈,스트레치 치노팬츠 사이즈가 작게 나온다는 후기가 있던데 한 치수 크게 주문할까요?,2026-04-04 07:20
Q00012,P00072,알러지케어 매트리스 커버 Q,배송,지금 주문하면 주말 전에 받아볼 수 있을까요?,2026-03-10 21:10
Q00013,P00051,1초 완속 충전 멀티탭 6구,배송,지금 주문하면 언제 받아볼 수 있나요?,2026-03-03 02:42
Q00014,P00044,구스 10% 베개 2P,사이즈,저희 침대가 Q 사이즈인데 이 제품 Q로 사면 딱 맞을까요?,2026-03-08 05:55
Q00015,P00062,소가죽 반지갑,용량,소가죽 반지갑에 노트북이랑 텀블러까지 같이 들어갈 정도 용량인가요?,2026-03-09 11:32
Q00016,P00004,셔링 블라우스,사이즈,키 168에 표준 체형인데 S 입으면 기장이랑 핏이 어느 정도 나올까요?,2026-05-04 10:17
Q00017,P00054,오버핏 트렌치 코트,색상,블랙 색상 실물도 화면이랑 비슷한가요? 너무 쨍한 건 아닌지 궁금해요.,2026-05-01 14:43
Q00018,P00072,알러지케어 매트리스 커버 Q,재입고,화이트 Q 품절인데 재입고 예정 있나요?,2026-04-02 21:30
Q00019,P00075,조립식 3단 수납 선반,설치,"무타공으로 설치하는 건가요, 아니면 나사로 고정해야 하나요?",2026-04-27 05:36
Q00020,P00003,루즈핏 니트 가디건,소재,루즈핏 니트 가디건 소재가 비치는 편인가요? 안에 이너 받쳐 입어야 할까요?,2026-03-14 07:51
Q00021,P00048,서랍 정리 칸막이 세트,소재,재질이 물에 강한 편인가요? 곰팡이나 변색 걱정은 없을까요?,2026-04-26 17:41
Q00022,P00043,모달 차렵이불 SS,소재,촉감이 까슬한 편인가요 부드러운 편인가요? 세탁하면 보풀 생기나요?,2026-04-04 10:47
Q00023,P00024,데일리 미니 크로스백,재입고,블랙 품절인데 재입고 예정 잡혀 있나요?,2026-04-29 02:04
Q00024,P00069,스테인리스 커트러리 16P,용량,스테인리스 커트러리 16P 용량이 4인 가족이 쓰기에 넉넉한 편인가요?,2026-03-15 06:35
Q00025,P00025,방수 나일론 토트백,소재,가죽인가요 합성인가요? 사용하다 보면 늘어나거나 갈라지나요?,2026-05-03 07:53
Q00026,P00061,스탠다드 후드 집업,세탁관리,"세탁기로 돌려도 되나요, 아니면 손세탁만 가능한가요? 줄어들까 봐서요.",2026-04-21 11:45
Q00027,P00036,스테인리스 반찬통 4P,구성,이거 단품인가요 세트인가요? 상세 사진에 나온 구성 그대로 오나요?,2026-04-24 18:01
Q00028,P00002,오버핏 맨투맨,사이즈,평소 S 사이즈 입는데 이 제품도 S로 사면 정사이즈로 맞을까요?,2026-04-06 15:03
Q00029,P00060,코치 윈드브레이커,사이즈,평소 2XL 사이즈 입는데 이 제품도 2XL로 사면 정사이즈로 맞을까요?,2026-03-31 23:57
Q00030,P00046,논슬립 옷걸이 30개입,소재,재질이 물에 강한 편인가요? 곰팡이나 변색 걱정은 없을까요?,2026-04-28 09:06
Q00031,P00012,에어쿨 기능성 반팔티,소재,에어쿨 기능성 반팔티 소재가 비치는 편인가요? 안에 이너 받쳐 입어야 할까요?,2026-04-19 00:55
Q00032,P00035,실리콘 지퍼백 대용량 세트,구성,이거 단품인가요 세트인가요? 상세 사진에 나온 구성 그대로 오나요?,2026-04-19 02:56
Q00033,P00062,소가죽 반지갑,선물,선물 포장이랑 메시지 카드 넣어주는 서비스도 되나요?,2026-03-24 15:31
Q00034,P00044,구스 10% 베개 2P,사이즈,저희 침대가 K 사이즈인데 이 제품 K로 사면 딱 맞을까요?,2026-03-02 08:39
Q00035,P00029,UV차단 와이드 캡모자,소재,가죽인가요 합성인가요? 사용하다 보면 늘어나거나 갈라지나요?,2026-04-03 03:49
Q00036,P00061,스탠다드 후드 집업,색상,블랙 말고 다른 색상 중에 뭐가 더 잘 나가나요? 추천 부탁드려요.,2026-04-26 10:20
